,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
71,7.85729219167322,7.6107561131426955,9.496788139055527,[-61.17575073 -48.87125397],[-69.03304291 -48.87074661],[-76.64379883 -48.86903381],[-86.14058685 -48.87050629],1.341897344373722
72,7.7997970609273075,7.378090103595462,9.061348081064557,[-61.01882172 -48.87095642],[-68.81861877 -48.87074661],[-76.19670868 -48.86903381],[-85.25805664 -48.87050629],1.7250510210086965
73,7.778747561026631,7.387649736458644,8.419746529018981,[-60.83322144 -48.87055206],[-68.61196899 -48.87074661],[-75.99961853 -48.86902618],[-84.41936493 -48.87050629],1.8656254644320769
74,7.700866729491831,7.407364091394236,7.813263079644459,[-60.71216583 -48.87006378],[-68.41303253 -48.87074661],[-75.82039642 -48.86902618],[-83.63365936 -48.87050629],0.170018073581393
75,7.555927307465113,7.321846210426998,7.314193875342943,[-60.71229172 -48.87006378],[-68.26821899 -48.87074661],[-75.590065   -48.86902618],[-82.90425873 -48.87050629],0.00012775116984604758
76,7.548015625714608,7.089470119346159,6.879089514697929,[-60.71211624 -48.87006378],[-68.26013184 -48.87075043],[-75.34960175 -48.86902618],[-82.2286911  -48.87050629],0.00016069124050999153
77,7.546428712356727,6.871910311531297,6.522331405731657,[-60.71198654 -48.87005615],[-68.25841522 -48.87075043],[-75.13032532 -48.86902618],[-81.65265656 -48.87050629],0.00010044570341521204
78,7.548007997018013,6.702240212026973,6.370254688549441,[-60.71023178 -48.87005615],[-68.25823975 -48.87075043],[-74.96047974 -48.86902618],[-81.33073425 -48.87050629],0.08936329085621479
79,7.558715845574758,6.687225564087458,6.129287898434399,[-60.69941711 -48.87013245],[-68.25813293 -48.87075043],[-74.94535828 -48.86902618],[-81.074646   -48.87050629],0.18112397613183268
80,7.598327656027263,6.655975552469201,5.850952323311862,[-60.65974426 -48.87020874],[-68.2580719  -48.87075043],[-74.91404724 -48.86907578],[-80.76499939 -48.87050629],0.5496684691724588
81,7.672412899080039,6.652160860153397,5.536125372885906,[-60.58564377 -48.87010956],[-68.25805664 -48.87075043],[-74.91021729 -48.8690567 ],[-80.44634247 -48.87050629],0.9036576117548657
82,7.783821141137431,6.650276399765278,5.248443803698448,[-60.47421265 -48.87001038],[-68.25803375 -48.87075043],[-74.90830994 -48.8690567 ],[-80.15675354 -48.87050629],1.3037529970796313
83,7.833415993140923,6.6497652303482635,4.997566433376514,[-60.42517471 -48.87039566],[-68.2585907  -48.87075043],[-74.90835571 -48.8690567 ],[-79.90592194 -48.87050629],0.0003095588137500167
84,7.833980568335657,6.649131990622712,4.807899693623077,[-60.42520523 -48.87039566],[-68.25918579 -48.87075043],[-74.90831757 -48.8690567 ],[-79.71621704 -48.87050629],7.70177634236833e-05
85,7.834068306372676,6.649101473045578,4.7893602657580425,[-60.42511749 -48.87039566],[-68.25918579 -48.87075043],[-74.90828705 -48.8690567 ],[-79.69764709 -48.87050629],7.507372970862879e-05
86,7.8341217121343405,6.649093843651293,4.768684612192267,[-60.42505646 -48.87039566],[-68.25917816 -48.87075043],[-74.90827179 -48.8690567 ],[-79.67695618 -48.87052155],4.5532739153750844e-05
87,7.833152779029865,6.64908621425701,4.767044286622616,[-60.42602539 -48.87039566],[-68.25917816 -48.87075043],[-74.90826416 -48.8690567 ],[-79.67530823 -48.87050247],0.0032017366583992533
88,7.836822517623874,6.6490785848627265,4.766899328133189,[-60.42235565 -48.87039948],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67515564 -48.87050247],0.16665470338991786
89,7.868812568195705,6.6490785848627265,4.766815404797205,[-60.3903656  -48.87041473],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67507172 -48.87050247],0.4799112610693863
90,7.93590164346301,6.6490785848627265,4.766769628432123,[-60.32327652 -48.87059021],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67502594 -48.87050247],0.8455657791794546
91,8.040191651911844,6.6490785848627265,4.766746740249582,[-60.21898651 -48.87059402],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67500305 -48.87050247],1.218657061715813
92,8.074462895427,6.6490785848627265,4.766731481461222,[-60.18471527 -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67498779 -48.87050247],0.00021125748738653455
93,8.074459080729737,6.6490785848627265,4.766723852067042,[-60.18471909 -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67498016 -48.87050247],7.105092125919943e-05
94,8.074531559977741,6.6490785848627265,4.766716222672861,[-60.18464661 -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67497253 -48.87050247],6.389050278821834e-05
95,8.074584965739428,6.6490785848627265,4.766716222672861,[-60.1845932  -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67497253 -48.87050247],3.834338192696893e-05
96,8.074607853923009,6.6490785848627265,4.766716222672861,[-60.18457031 -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.67497253 -48.87050247],1.362843497496316e-05
97,8.076175694498248,6.6490785848627265,4.766708593278681,[-60.18300247 -48.87047195],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.08638479148629992
98,8.086528783410865,6.6490785848627265,4.766708593278681,[-60.17264938 -48.8704567 ],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.21509286831636018
99,8.12531662034675,6.6490785848627265,4.766708593278681,[-60.13386154 -48.87066269],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.5556741597563662
100,8.198719024978573,6.6490785848627265,4.766708593278681,[-60.06045914 -48.87067795],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.9130606205325074
101,8.307998657248456,6.6490785848627265,4.766708593278681,[-59.9511795 -48.8707695],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],1.2665431502418005
102,8.354267132080523,6.6490785848627265,4.766708593278681,[-59.90491104 -48.87030792],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.0002962823515473337
103,8.35424424389696,6.6490785848627265,4.766708593278681,[-59.90493393 -48.87030792],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],7.538702408170022e-05
104,8.354324352539427,6.6490785848627265,4.766708593278681,[-59.90485382 -48.87030792],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],7.273084689980062e-05
105,8.354385387695592,6.6490785848627265,4.766708593278681,[-59.90479279 -48.87030792],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],4.410871083685852e-05
106,8.353412639894222,6.6490785848627265,4.766708593278681,[-59.90576553 -48.87030792],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.003205115789742818
107,8.35709000785201,6.6490785848627265,4.766708593278681,[-59.90208817 -48.87031174],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.16681681258772663
108,8.392841352657019,6.6490785848627265,4.766708593278681,[-59.86633682 -48.87027359],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.5319530445423337
109,8.461551674184461,6.6490785848627265,4.766708593278681,[-59.7976265  -48.87038422],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.8294550777685247
110,8.565887457023466,6.6490785848627265,4.766708593278681,[-59.69329071 -48.87043381],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],1.1802988828057883
111,8.633808222821932,6.6490785848627265,4.766708593278681,[-59.62537003 -48.86952591],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],0.0007510207308943053
112,8.633716669548283,6.6490785848627265,4.766708593278681,[-59.62546158 -48.86952972],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],6.232051222110701e-05
113,8.633804408124705,6.6490785848627265,4.766708593278681,[-59.62537384 -48.86952591],[-68.25917816 -48.87075043],[-74.90825653 -48.8690567 ],[-79.6749649  -48.87050247],8.033637430554103e-05
