,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
34,8.627594918612708,9.559997964175206,9.235649725920958,[-87.24940491 -48.86626434],[-95.8769989  -48.87025833],[-105.43699646  -48.8674736 ],[-114.67264557  -48.87084961],5.516391687649702
35,8.513832837804323,9.534653064900183,9.35794123690667,[-86.69965363 -48.86664581],[-95.21348572 -48.87020874],[-104.74813843  -48.86760712],[-114.1060791   -48.87085342],5.465761083135216
36,8.385330787914198,9.491112051959272,9.46167040423659,[-86.16472626 -48.86701965],[-94.55005646 -48.87015915],[-104.04116821  -48.86778641],[-113.50283813  -48.87080765],5.268420535946533
37,8.235672455060422,9.429298641999548,9.55487864288864,[-85.65317535 -48.86735916],[-93.88884735 -48.87010574],[-103.31814575  -48.86797333],[-112.87302399  -48.87076569],5.01414799956885
38,7.933304214561357,9.34790058211206,9.631981235093248,[-85.30023956 -48.86759567],[-93.2335434  -48.87005615],[-102.58144379  -48.86816406],[-112.21342468  -48.87071991],2.3256886818849307
39,7.381576909687699,9.243545679125639,9.685974399693958,[-85.20931244 -48.86766052],[-92.59088898 -48.87000275],[-101.83443451  -48.8683548 ],[-111.52040863  -48.87067795],0.004060154114721355
40,6.775474941401952,9.096389881793359,9.7183382367081,[-85.20895386 -48.86766052],[-91.98442841 -48.86996841],[-101.08081818  -48.86854553],[-110.79915619  -48.87063217],0.0004887910138647554
41,6.375786242582211,8.744659509562961,9.72714250920919,[-85.20579529 -48.86766434],[-91.58158112 -48.8699646 ],[-100.32624054  -48.86874008],[-110.05338287  -48.8705864 ],0.047254016226758115
42,6.071785388867818,8.325561587146993,9.69992078410702,[-85.18684387 -48.86771774],[-91.25862885 -48.8699646 ],[-99.58419037 -48.86893463],[-109.28411102  -48.87052155],0.23485366797205479
43,5.760803669793688,7.960487409960695,9.62548073872493,[-85.14879608 -48.86769867],[-90.9095993  -48.86996841],[-98.87008667 -48.86912918],[-108.49556732  -48.87042236],0.46960727559505805
44,5.4803090299799395,7.615844755487314,9.511146605814744,[-85.08737183 -48.86763382],[-90.56768036 -48.86996841],[-98.18352509 -48.86930466],[-107.69467163  -48.87037659],0.7104146219231208
45,5.245102413230336,7.278358477422733,9.360771218899666,[-85.00283813 -48.86771393],[-90.24794006 -48.86996841],[-97.52629852 -48.86945724],[-106.8870697   -48.87031937],0.9654839361498195
46,5.055405096875308,6.952339182008269,9.176330590967273,[-84.89276886 -48.86787415],[-89.94817352 -48.86996841],[-96.9005127 -48.8696022],[-106.07684326  -48.87027359],1.23280236597249
47,4.911568046579967,6.63597107277438,8.962928784254128,[-84.75900269 -48.86809158],[-89.67057037 -48.86996841],[-96.30654144 -48.86975479],[-105.26947021  -48.870224  ],1.481043908749869
48,4.8054812541709895,6.331130982411819,8.72482300365427,[-84.60785675 -48.8682785 ],[-89.41333771 -48.86996841],[-95.74446869 -48.86985779],[-104.46929169  -48.87017059],1.5399701279039586
