,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
514,8.564117533349709,8.89328058884726,9.539367768682471,[408.13156128 -48.86694336],[399.56744385 -48.86562347],[390.67416382 -48.86877823],[381.13479614 -48.87010956],14.802544597524404
515,8.5284730025248,8.826874325472156,9.445129488359388,[409.61346436 -48.86699295],[401.08499146 -48.86567307],[392.25811768 -48.86877823],[382.81298828 -48.87010956],14.831966402667547
516,8.494049171287974,8.762054976140993,9.349029635808234,[411.09820557 -48.86701965],[402.60415649 -48.86572266],[393.84210205 -48.86877823],[384.49307251 -48.87010956],14.860147477926036
517,8.460815525621129,8.698914093589595,9.252044773520652,[412.58566284 -48.86704636],[404.12484741 -48.86577225],[395.42593384 -48.86877823],[386.17388916 -48.87010956],14.887141229811855
518,8.428863621687915,8.637726353128079,9.154632659696773,[414.07577515 -48.86709213],[405.64691162 -48.86581802],[397.00918579 -48.86882401],[387.85455322 -48.87011719],14.91299534066333
519,8.39828500249609,8.578583275726908,9.05746469084056,[415.56842041 -48.86709976],[407.1701355  -48.86586761],[398.59155273 -48.86883163],[389.53408813 -48.87011719],14.937764169167234
520,8.36901864205183,8.521790049144558,8.961090183415736,[417.0635376  -48.86712646],[408.69451904 -48.86591721],[400.17272949 -48.86883163],[391.2116394  -48.87014008],14.961483958123216
521,8.3409119528931,8.467407711202856,8.866241551625139,[418.56091309 -48.86717606],[410.22000122 -48.8659668 ],[401.75259399 -48.86883163],[392.88635254 -48.87014008],14.984207156174785
522,8.314148035503035,8.415466792337268,8.77331552165087,[420.06057739 -48.8672142 ],[411.74642944 -48.86601639],[403.33096313 -48.86886978],[394.55764771 -48.87014008],15.00596618836238
523,8.288574298811591,8.366119859723362,8.682647796335056,[421.56234741 -48.8672142 ],[413.27377319 -48.86606216],[404.90765381 -48.86888123],[396.2250061  -48.87014008],15.026812555003206
524,8.264099200861553,8.319305880895758,8.594757172268256,[423.06604004 -48.86725998],[414.80194092 -48.86611176],[406.4826355  -48.86888123],[397.88787842 -48.87014008],15.046778682305034
525,8.240753253291272,8.275116412531167,8.509796235688674,[424.57171631 -48.86730957],[416.33096313 -48.86616516],[408.05584717 -48.86888123],[399.54605103 -48.87014008],15.065894129062457
526,8.218628003117887,8.233551469607894,8.428253262228182,[426.07931519 -48.86731339],[417.86068726 -48.86621475],[409.62713623 -48.86891937],[401.19888306 -48.87014008],15.084202767738383
527,8.197540356822406,8.194519481779572,8.350524989901563,[427.5887146  -48.86734772],[419.39117432 -48.86624908],[411.19665527 -48.86893082],[402.84613037 -48.87014008],15.101730349479231
528,8.17752083256546,8.157989942728838,8.276550381309143,[429.09976196 -48.86739731],[420.92224121 -48.86624908],[412.76425171 -48.86893082],[404.48770142 -48.87014008],15.118511202180045
529,8.158447340111632,8.124023863899968,8.206695645732964,[430.61248779 -48.86740112],[422.45404053 -48.86629868],[414.33001709 -48.86893082],[406.12332153 -48.87014008],15.13457965974893
530,8.140319896310467,8.092468681140117,8.141052332536862,[432.12680054 -48.86743164],[423.98648071 -48.86634827],[415.89401245 -48.8689537 ],[407.75296021 -48.87014008],15.149960520541626
531,8.123138500488233,8.063263349373136,8.0795899291784,[433.64260864 -48.86748123],[425.51947021 -48.86639404],[417.45620728 -48.86896515],[409.37661743 -48.87014008],15.16467762224482
532,8.106781073241212,8.03634683112696,8.022338953225557,[435.15988159 -48.86748886],[427.05310059 -48.86644363],[419.01675415 -48.86896515],[410.99441528 -48.87014008],15.17876434453
533,8.091217109020759,8.011627600091979,7.969329915061975,[436.67849731 -48.86751175],[428.58728027 -48.86646271],[420.57565308 -48.8690033 ],[412.60632324 -48.87014008],15.19224453215911
534,8.076507637482933,7.988922512267471,7.92071541251518,[438.19851685 -48.86756134],[430.12200928 -48.86650467],[422.13308716 -48.86901093],[414.21237183 -48.87014008],15.205144884741255
535,8.062377994990264,7.9682010634762745,7.8762207840636025,[439.71966553 -48.8675766 ],[431.6572876  -48.86655045],[423.68908691 -48.86901093],[415.81286621 -48.87014008],15.217476846156957
536,8.049011296856234,7.9493717163151825,7.835784993465653,[441.24209595 -48.86759186],[433.19308472 -48.86655807],[425.24371338 -48.86901093],[417.40792847 -48.87014008],15.229281427576387
537,8.036285467868298,7.932190314775376,7.799469072595714,[442.76565552 -48.86764145],[434.72937012 -48.86660004],[426.79718018 -48.86903381],[418.99771118 -48.87014008],15.24057293203483
538,8.024108950396116,7.916717889455374,7.766998369256308,[444.29031372 -48.86766052],[436.26620483 -48.86664963],[428.3494873  -48.86903763],[420.58248901 -48.87014008],15.251360894605561
539,8.012512264697609,7.902771344319582,7.738189774714405,[445.81600952 -48.86766052],[437.80349731 -48.86669922],[429.90072632 -48.86904526],[422.16253662 -48.87014008],15.261683465886097
540,8.001495422326537,7.890228628248644,7.713012766134345,[447.34277344 -48.86771011],[439.34127808 -48.86672211],[431.4510498  -48.86909485],[423.73803711 -48.87014008],15.27154350614599
541,7.990936340848452,7.878937114589319,7.691223215553737,[448.87042236 -48.86774826],[440.87948608 -48.86675644],[433.00054932 -48.86909485],[425.30932617 -48.87014008],15.28096485315916
542,7.980835016558109,7.868927335935523,7.672546457395396,[450.39901733 -48.86774826],[442.41818237 -48.86680603],[434.54925537 -48.86909866],[426.87670898 -48.87014008],15.289976121362924
543,7.971130430447834,7.860016201280007,7.656951976158929,[451.9284668  -48.86778259],[443.95733643 -48.86680984],[436.09732056 -48.86909485],[428.44036865 -48.87014389],15.298583987124013
544,7.961853088173414,7.852081620294797,7.6441956286226,[453.45877075 -48.86783218],[445.49691772 -48.86684799],[437.64483643 -48.86909485],[430.00064087 -48.87014389],15.306788446482605
545,7.953033502180439,7.845001528413475,7.634124827936307,[454.98989868 -48.86783218],[447.03686523 -48.86689758],[439.19186401 -48.86909485],[431.55773926 -48.87014389],15.314637185033183
546,7.944519093116825,7.8387759384580615,7.626586981565521,[456.52178955 -48.86783981],[448.57727051 -48.86694717],[440.73849487 -48.86912918],[433.11190796 -48.87014389],15.322130205301239
547,7.9363709050896265,7.833252259160524,7.621215886347988,[458.05441284 -48.8678894 ],[450.11804199 -48.86695099],[442.28479004 -48.86914062],[434.66357422 -48.87014389],15.329274180331094
548,7.928558403352964,7.828277884592869,7.6178589527833385,[459.58773804 -48.86790848],[451.65917969 -48.86698532],[443.8309021  -48.86914062],[436.21304321 -48.87014389],15.33608532088145
549,7.92105107356081,7.823974892736522,7.6161804860010225,[461.1217041  -48.86790848],[453.20065308 -48.86703491],[445.37667847 -48.86914062],[437.76049805 -48.87014389],15.342588426473926
550,7.913818408860738,7.820129674958945,7.61608892979669,[462.65631104 -48.86795807],[454.74249268 -48.86707306],[446.92236328 -48.86916733],[439.30627441 -48.87014389],15.348791125578376
551,7.906890922144412,7.816589638071285,7.617492737404635,[464.19155884 -48.86798859],[456.28466797 -48.86707306],[448.46807861 -48.86917496],[440.85058594 -48.87014389],15.354699136332421
552,7.900054979517935,7.813476833034944,7.620208801835795,[465.72732544 -48.86798859],[457.82727051 -48.86711884],[450.01379395 -48.86917496],[442.39358521 -48.87014389],15.360331536662173
553,7.893554732927987,7.810638685470389,7.623901428759083,[467.26367188 -48.86801529],[459.37011719 -48.86716843],[451.55947876 -48.86917496],[443.93557739 -48.87014389],15.365684511727716
554,7.887298631939118,7.808044696340238,7.62857061249764,[468.80053711 -48.86806488],[460.91323853 -48.86719513],[453.10519409 -48.86922073],[445.47662354 -48.87014389],15.370789529896262
555,7.881286665776346,7.805725354574827,7.633850152555829,[470.33789062 -48.86806488],[462.456604   -48.86722565],[454.65087891 -48.86922836],[447.01702881 -48.87014389],15.375647545673916
556,7.875366253247882,7.803741706221657,7.639679009935818,[471.8757019  -48.86806488],[464.00033569 -48.86724854],[456.19659424 -48.86922836],[448.55691528 -48.87014389],15.38026619140631
