,c0_c1,c1_c2,c2_c3,p1,p2,p3,p4,v1
55,17.180210134209947,17.76242828387205,18.477104188727036,[-62.6033287  -48.87119675],[-79.78353882 -48.8703537 ],[-97.5459671  -48.87027359],[-116.02307129  -48.87052536],12.48038196588832
56,17.123893758733782,17.703361511411718,18.455612184440156,[-61.34915924 -48.87120056],[-78.47305298 -48.8703537 ],[-96.17641449 -48.87027359],[-114.63202667  -48.87053299],12.596862793774216
57,17.06642534449766,17.639381408873312,18.423057557978535,[-60.08356857 -48.87120056],[-77.1499939 -48.8703537],[-94.78937531 -48.87027359],[-113.21243286  -48.87053299],12.709093095746244
58,17.00812151006973,17.571060180846676,18.379882814330482,[-58.80695724 -48.87117004],[-75.81507874 -48.8703537 ],[-93.38613892 -48.87027359],[-111.76602173  -48.87053299],12.81729793861493
59,16.949275988149118,17.49892425555446,18.326583864140492,[-57.5197258  -48.87112808],[-74.46900177 -48.8703537 ],[-91.96792603 -48.87027359],[-110.29450989  -48.87053299],12.921519282023421
60,16.890110033100427,17.423561096375565,18.263603212345934,[-56.22227097 -48.87111664],[-73.11238098 -48.8703537 ],[-90.53594208 -48.87027359],[-108.79954529  -48.8705368 ],13.02187824408554
61,16.83088685811223,17.345466613954517,18.191314699169876,[-54.91496277 -48.87111664],[-71.74584961 -48.8703537 ],[-89.09131622 -48.87027359],[-107.28263092  -48.8705368 ],13.118543627105499
62,16.771774307488727,17.265167236513975,18.111045839315036,[-53.59818268 -48.87107468],[-70.36995697 -48.8703537 ],[-87.63512421 -48.87027359],[-105.74617004  -48.8705368 ],13.211619380419936
63,16.713005080338405,17.183166504092984,18.023689271941493,[-52.27226257 -48.87104797],[-68.98526764 -48.8703537 ],[-86.16843414 -48.87027359],[-104.19212341  -48.8705368 ],13.301217080803761
64,16.65472413556465,17.099983215519675,17.929687501932037,[-50.93755341 -48.87104797],[-67.59227753 -48.8703537 ],[-84.69226074 -48.87027359],[-102.62194824  -48.8705368 ],13.387457848945013
65,16.597091689325836,17.016014099309665,17.829986574208466,[-49.5943985  -48.87104797],[-66.19149017 -48.8703537 ],[-83.20750427 -48.87027359],[-101.03749084  -48.8705368 ],13.470463754911984
66,16.5402412540189,16.931732177923884,17.725440980958208,[-48.24309921 -48.87099838],[-64.78334045 -48.8703537 ],[-81.71507263 -48.87027359],[-99.44051361 -48.8705368 ],13.55033874802354
67,16.484302532768716,16.847450256556684,17.61681366115481,[-46.88396835 -48.87099075],[-63.36827087 -48.87036133],[-80.21572113 -48.8702774 ],[-97.83253479 -48.87050629],13.62718677618603
68,16.42936326278937,16.763420105190544,17.504989625470316,[-45.51729965 -48.87099075],[-61.9466629  -48.87036133],[-78.71008301 -48.8702774 ],[-96.21507263 -48.87050247],13.701117517049939
69,16.37552262562198,16.680244446011905,17.390396119620476,[-44.14338303 -48.87099075],[-60.51890564 -48.87036133],[-77.19915009 -48.8702774 ],[-94.5895462  -48.87050247],13.772236826084171
70,16.32283784002448,16.59827804586646,17.273437501466276,[-42.76249313 -48.87094498],[-59.08533096 -48.87036133],[-75.68360901 -48.8702774 ],[-92.95704651 -48.87050247],13.840634348729491
71,16.271373758975063,16.517696380828433,17.155418397472456,[-41.37490082 -48.87093735],[-57.64627457 -48.87036133],[-74.16397095 -48.8702774 ],[-91.31938934 -48.87050247],13.906412125617297
72,16.221187601780045,16.438770294403675,17.037101747092084,[-39.98085785 -48.87093735],[-56.20204544 -48.87036133],[-72.64081573 -48.8702774 ],[-89.67791748 -48.87050247],13.969665528743048
73,16.17230225761125,16.361774444655232,16.918823243684507,[-38.580616   -48.87093735],[-54.75291824 -48.870327  ],[-71.11469269 -48.8702774 ],[-88.03351593 -48.87050247],14.030479433028882
74,16.124755870076346,16.28684234630577,16.801315309390997,[-37.17440796 -48.87090683],[-53.29916382 -48.87031937],[-69.58600616 -48.87025833],[-86.38732147 -48.87050247],14.088942530211002
75,16.078567515475974,16.214115142951954,16.6852035540885,[-35.76247025 -48.87090302],[-51.84103775 -48.87031937],[-68.05515289 -48.87025452],[-84.74035645 -48.87050247],14.145146371333958
76,16.033744822634496,16.143745422493534,16.57093048281214,[-34.34502411 -48.87090302],[-50.37876892 -48.87031937],[-66.52251434 -48.87025452],[-83.09344482 -48.87050247],14.199169160907713
77,15.990287789808042,16.075847625863222,16.458938600500545,[-32.92228317 -48.87085724],[-48.91257095 -48.87031937],[-64.98841858 -48.87025452],[-81.44735718 -48.87050247],14.25109195966807
78,15.948173531891232,16.01049423234179,16.34967804137359,[-31.49445724 -48.87085342],[-47.44263077 -48.87031937],[-63.453125   -48.87024689],[-79.80280304 -48.87049103],14.300992012821506
79,15.907396325493256,15.947750091717436,16.24351883095825,[-30.06174278 -48.87085342],[-45.9691391  -48.87031937],[-61.91688919 -48.87024689],[-78.16040802 -48.87047577],14.348937989486728
80,15.867967616045789,15.887619018644449,16.140758516367903,[-28.62433052 -48.87085342],[-44.49229813 -48.8702774 ],[-60.37991714 -48.870224  ],[-76.52067566 -48.87047577],14.395007134977396
81,15.829832087645793,15.83016204841752,16.041660310813626,[-27.18240166 -48.87085342],[-43.01223373 -48.87027359],[-58.84239578 -48.870224  ],[-74.88405609 -48.87047577],14.439266206716784
82,15.792974481466926,15.775348663408025,15.946506501886724,[-25.7361393  -48.87081909],[-41.52911377 -48.87027359],[-57.30446243 -48.870224  ],[-73.25096893 -48.87045288],14.481786730371365
83,15.75737381886474,15.723171234209065,15.855434419376627,[-24.28571701 -48.87080765],[-40.04309082 -48.87027359],[-55.76626205 -48.870224  ],[-71.62169647 -48.87045288],14.52263355377623
84,15.723001489172612,15.673583984453453,15.768619539014628,[-22.83129311 -48.87080765],[-38.55429459 -48.87027359],[-54.22787857 -48.870224  ],[-69.99649811 -48.87045288],14.561877251988907
85,15.689811715632228,15.626564025957595,15.6861839311132,[-21.3730278  -48.87080765],[-37.06283951 -48.87027359],[-52.68940353 -48.870224  ],[-68.37558746 -48.87045288],14.599575998099727
86,15.657787331847532,15.582023620684383,15.608184816131311,[-19.91106796 -48.87080002],[-35.56885529 -48.87027359],[-51.15087891 -48.870224  ],[-66.75906372 -48.87045288],14.635790826980914
87,15.626880653027035,15.53993225105569,15.534637452640684,[-18.44556808 -48.87075043],[-34.07244873 -48.87027359],[-49.61238098 -48.870224  ],[-65.14701843 -48.87043762],14.670578005110837
88,15.597064979212817,15.500198364445577,15.465572358986188,[-16.9766655  -48.87075043],[-32.57373047 -48.87027359],[-48.07392883 -48.8701973 ],[-63.53950119 -48.87043381],14.703994751462298
89,15.568302161843471,15.462743759343493,15.400959016708619,[-15.50449181 -48.87075043],[-31.07279396 -48.87027359],[-46.53553772 -48.8701973 ],[-61.93649673 -48.87043381],14.736088753604538
90,15.540563590689514,15.427478790471852,15.340747835075122,[-14.02917671 -48.87075043],[-29.5697403  -48.87027359],[-44.99721909 -48.8701973 ],[-60.33796692 -48.87043381],14.76691341495848
91,15.513798721012193,15.394319534490814,15.28486251945348,[-12.55085087 -48.87075043],[-28.06464958 -48.87027359],[-43.45896912 -48.8701973 ],[-58.74383163 -48.87038422],14.796518326959491
92,15.487985619397298,15.363166809139337,15.233188630297201,[-11.06962776 -48.87075043],[-26.55761337 -48.87023926],[-41.92078018 -48.8701973 ],[-57.15396881 -48.87038422],14.824947358668346
93,15.463091858729724,15.33393287664433,15.185611726003918,[ -9.58562374 -48.87075043],[-25.04871559 -48.87023926],[-40.38264847 -48.8701973 ],[-55.56826019 -48.87038422],14.852243425431631
94,15.43907643054487,15.306505203304587,15.142028809747464,[ -8.09895039 -48.87070084],[-23.53802681 -48.87023926],[-38.84453201 -48.8701973 ],[-53.98656082 -48.87038422],14.878457071989745
95,15.415905959250086,15.280797958431638,15.102298737729015,[ -6.60971165 -48.87069702],[-22.0256176  -48.87023926],[-37.30641556 -48.8701973 ],[-52.40871429 -48.87038422],14.903626442652893
96,15.393543250214549,15.256711959896572,15.066226960388034,[ -5.11801338 -48.87069702],[-20.51155663 -48.87023926],[-35.76826859 -48.8701973 ],[-50.83449554 -48.87038422],14.927788735446024
97,15.371968514582623,15.23414421087322,15.033664704531171,[ -3.62395167 -48.87069702],[-18.99592018 -48.87023926],[-34.23006439 -48.8701973 ],[-49.2637291  -48.87038422],14.950989724346547
98,15.351144082218822,15.21299934392994,15.004417420597889,[ -2.12762141 -48.87069702],[-17.47876549 -48.87023926],[-32.69176483 -48.8701973 ],[-47.69618225 -48.87038422],14.97326374187262
99,15.331041998544757,15.193188667378296,14.978267670941216,[ -0.62911254 -48.87069702],[-15.96015453 -48.87023926],[-31.1533432  -48.87018967],[-46.13161087 -48.87038422],14.994642259355908
100,15.311635142888715,15.174628257845443,14.9550399793429,[  0.87148678 -48.87067795],[-14.44014835 -48.87023926],[-29.61477661 -48.87018585],[-44.56981659 -48.87038422],15.015168192142143
101,15.292894369586476,15.15722560891977,14.934547425633767,[  2.37409306 -48.87067413],[-12.91880131 -48.87023926],[-28.07602692 -48.87018585],[-43.01057434 -48.87038422],15.034868241984121
102,15.274796253457477,15.140898704622996,14.916597367651955,[  3.87862563 -48.8706665 ],[-11.39617062 -48.87023926],[-26.53706932 -48.87018585],[-41.45366669 -48.87038422],15.053774835681125
103,15.257314210427316,15.125566482699801,14.901006700425311,[  5.38500738 -48.87062073],[ -9.87230682 -48.87022018],[-24.99787331 -48.87015152],[-39.89888    -48.87038422],15.071921350580283
104,15.240419869918007,15.111159324802001,14.88757896605195,[  6.8931613  -48.87062073],[ -8.34725857 -48.87022018],[-23.45841789 -48.87015152],[-38.34599686 -48.87038422],15.089331627327343
105,15.224093442463936,15.097599983371477,14.876138688456322,[  8.40301704 -48.87062073],[ -6.82107639 -48.87022018],[-21.91867638 -48.87015152],[-36.79481506 -48.87034988],15.106037140563467
106,15.20831490090446,15.084817886508816,14.8665027631138,[  9.91450691 -48.87062073],[ -5.29380798 -48.87022018],[-20.37862587 -48.87015152],[-35.24512863 -48.87034607],15.122063637458146
107,15.193062072311733,15.07275462166214,14.858495713553939,[ 11.42756557 -48.87062073],[ -3.76549649 -48.87022018],[-18.83825111 -48.87015152],[-33.69674683 -48.87034607],15.137438774873305
108,15.178312306920745,15.061349868930934,14.85195732244122,[ 12.94212532 -48.87062073],[ -2.23618698 -48.87022018],[-17.29753685 -48.87015152],[-32.14949417 -48.87034607],15.152180672642764
109,15.164048140774026,15.050543844823618,14.846723557793231,[ 14.45812607 -48.87062073],[ -0.70592207 -48.87021255],[-15.75646591 -48.87015152],[-30.60318947 -48.87034607],15.16632175568727
110,15.150253301396857,15.040285110597477,14.842651368462526,[ 15.97550964 -48.87062073],[  0.82525635 -48.87021255],[-14.21502876 -48.87015152],[-29.05768013 -48.87034607],15.179881097493102
